iter	Passed	Remaining
0	1	126
1	3	162
2	5	171
3	6	165
4	9	171
5	11	175
6	13	182
7	16	187
8	18	190
9	21	189
10	23	193
11	26	190
12	28	187
13	30	186
14	32	185
15	35	184
16	37	183
17	40	183
18	43	183
19	45	182
20	48	182
21	50	180
22	53	178
23	55	176
24	58	174
25	60	171
26	62	168
27	64	166
28	67	164
29	70	163
30	71	160
31	73	157
32	75	154
33	78	151
34	79	148
35	81	145
36	83	142
37	85	139
38	87	136
39	88	133
40	90	130
41	91	125
42	92	122
43	94	120
44	95	116
45	97	113
46	98	111
47	100	108
48	101	105
49	102	102
50	103	99
51	105	97
52	106	94
53	107	91
54	108	88
55	110	86
56	111	83
57	112	81
58	113	78
59	114	76
60	115	74
61	117	71
62	118	69
63	119	67
64	120	65
65	121	62
66	123	60
67	124	58
68	125	56
69	126	54
70	127	52
71	128	50
72	129	47
73	130	45
74	131	43
75	132	41
76	133	39
77	134	38
78	135	36
79	136	34
80	137	32
81	138	30
82	139	28
83	140	26
84	141	24
85	142	23
86	143	21
87	144	19
88	145	17
89	146	16
90	147	14
91	148	12
92	149	11
93	150	9
94	151	7
95	152	6
96	152	4
97	153	3
98	154	1
99	155	0
