iter	Passed	Remaining
0	160	160598
1	165	82346
2	169	56203
3	172	42885
4	175	34984
5	178	29594
6	181	25768
7	185	23018
8	189	20837
9	191	18959
10	193	17419
11	196	16163
12	199	15144
13	201	14216
14	204	13400
15	205	12665
16	207	12021
17	211	11515
18	213	11042
19	216	10614
20	218	10173
21	219	9764
22	220	9385
23	222	9040
24	223	8735
25	226	8485
26	228	8237
27	230	8007
28	233	7807
29	234	7592
30	236	7379
31	237	7175
32	238	6996
33	242	6877
34	243	6710
35	244	6547
36	245	6389
37	246	6239
38	247	6097
39	248	5959
40	249	5828
41	249	5700
42	250	5580
43	251	5465
44	252	5358
45	253	5263
46	254	5166
47	255	5071
48	256	4982
49	257	4895
50	258	4811
51	259	4728
52	260	4649
53	261	4573
54	261	4499
55	262	4430
56	263	4361
57	264	4296
58	265	4233
59	266	4171
60	267	4110
61	268	4063
62	269	4012
63	270	3958
64	271	3906
65	272	3854
66	273	3807
67	274	3757
68	275	3711
69	276	3667
70	276	3623
71	277	3582
72	278	3538
73	279	3496
74	280	3456
75	281	3418
76	282	3388
77	283	3352
78	284	3321
79	286	3295
80	287	3265
81	288	3231
82	289	3194
83	290	3162
84	291	3133
85	292	3103
86	292	3072
87	293	3042
88	294	3013
89	295	2984
90	295	2955
91	297	2938
92	299	2916
93	300	2891
94	300	2867
95	301	2842
96	302	2818
97	303	2794
98	304	2771
99	305	2747
100	306	2727
101	307	2706
102	308	2683
103	308	2661
104	309	2640
105	310	2619
106	311	2599
107	313	2587
108	314	2571
109	316	2556
110	316	2537
111	317	2518
112	318	2500
113	319	2482
114	320	2465
115	321	2447
116	321	2428
117	322	2410
118	323	2394
119	324	2377
120	324	2360
121	325	2344
122	326	2330
123	328	2320
124	329	2305
125	330	2290
126	330	2274
127	331	2259
128	332	2244
129	333	2230
130	334	2216
131	334	2202
132	335	2188
133	336	2174
134	337	2161
135	338	2147
136	338	2134
137	339	2122
138	340	2110
139	341	2100
140	343	2093
141	344	2080
142	345	2069
143	346	2057
144	346	2045
145	347	2034
146	348	2023
147	349	2013
148	350	2002
149	352	1996
150	353	1986
151	354	1975
152	354	1964
153	355	1953
154	356	1942
155	358	1937
156	358	1927
157	359	1917
158	360	1907
159	361	1897
160	362	1886
161	362	1877
162	364	1869
163	365	1860
164	366	1852
165	367	1843
166	367	1834
167	368	1825
168	369	1818
169	371	1812
170	372	1807
171	373	1799
172	374	1791
173	375	1782
174	376	1774
175	377	1766
176	378	1758
177	379	1750
178	379	1742
179	380	1734
180	381	1726
181	382	1719
182	383	1711
183	384	1703
184	385	1698
185	387	1694
186	388	1690
187	389	1683
188	390	1676
189	391	1669
190	392	1662
191	393	1654
192	393	1647
193	394	1640
194	395	1633
195	396	1626
196	397	1619
197	398	1612
198	398	1605
199	399	1598
200	400	1591
201	402	1588
202	403	1582
203	403	1576
204	404	1569
205	405	1563
206	406	1557
207	407	1551
208	408	1545
209	409	1540
210	410	1534
211	411	1528
212	412	1522
213	412	1516
214	413	1509
215	414	1503
216	415	1497
217	415	1491
218	417	1487
219	418	1482
220	418	1476
221	419	1471
222	420	1465
223	421	1460
224	422	1455
225	423	1450
226	424	1445
227	425	1439
228	426	1434
229	426	1429
230	427	1424
231	428	1419
232	429	1414
233	430	1409
234	431	1404
235	432	1400
236	433	1396
237	434	1391
238	435	1385
239	436	1381
240	437	1376
241	437	1371
242	438	1366
243	439	1361
244	440	1356
245	440	1351
246	441	1346
247	442	1341
248	443	1336
